id,name,lat,lon,cuisine,avg_rating,prep_capacity,manager_contact
1003,Hot Treats,12.982298,77.579768,Healthy Bowls,2.8,15,+91-852012319
1004,Bombay Plate,12.986303,77.586144,Beverages,4.6,15,+91-827083565
1005,Hot House,12.97982,77.583787,Chinese,4.6,4,+91-775389988
1006,Madras Junction,12.960076,77.606575,North Indian,3.7,8,+91-892557389
1007,Tandoor Express,12.984065,77.596642,Fast Food,3.2,12,+91-872126724
1008,Hot Plate,12.96234,77.589166,Chinese,4.3,0,+91-973148560
1009,Green Plate,12.957746,77.609863,Italian,3.0,10,+91-918961986
1010,Curry Bowl,12.966814,77.596493,North Indian,3.4,20,+91-893819096
1011,Namma Diner,12.980144,77.608498,Italian,,6,+91-723733443
1012,Cloud Bistro,12.959655,77.595314,Bakery & Desserts,4.4,12,+91-799724136
1013,Spice Bistro,12.984695,77.585298,Italian,3.0,20,+91-953397675
1014,Tandoor Diner,12.958089,77.609635,Beverages,3.8,8,+91-861744941
1015,Garden Diner,12.9782,77.58996,Biryani,4.7,20,+91-829177565
1016,Bombay Plate,12.982476,77.596536,Fast Food,4.0,10,+91-899931125
1017,Fresh Diner,12.966672,77.59217,Italian,3.2,15,+91-910753570
1018,Wok Bowl,12.974358,77.58911,Fast Food,2.8,8,+91-943962179
1019,Fresh Eats,12.964374,77.580431,North Indian,4.7,12,+91-783227492
1020,Spice Treats,12.981438,77.579822,Chinese,3.2,20,+91-969509188
1021,Urban Eats,12.975999,77.580594,Continental,4.6,200,+91-988765336
1022,Spice Hub,12.978708,77.59032,Bakery & Desserts,4.2,4,+91-745787268
1023,Green Treats,12.958287,77.592789,Italian,3.7,15,
1024,Royal Cafe,12.96436,77.589822,Healthy Bowls,3.0,10,+91-934918714
1025,Spice Bistro,12.96576,77.598652,Chinese,3.3,8,+91-896210380
1026,Hot Bistro,12.985765,77.606267,Chinese,3.6,8,+91-935265855
1027,Green Corner,12.96433,77.584975,Beverages,3.8,12,+91-732880719
1028,Madras Express,12.956775,77.605311,Continental,4.9,10,+91-955926778
1029,Garden Plate,12.977989,77.59472,Fast Food,4.4,8,+91-798359849
1030,Bombay Treats,12.975796,77.593807,Biryani,3.6,12,
1031,Tandoor Junction,12.967084,77.607433,Beverages,4.2,4,+91-734986069
1032,Fresh Cafe,12.979665,77.592648,Healthy Bowls,3.7,10,+91-755349252
1033,Spice Box,12.971042,77.591437,Italian,4.7,12,+91-763787771
1034,Tandoor Box,12.974578,77.583849,Fast Food,4.8,12,+91-999040902
1035,Urban Corner,12.966261,77.609317,Chinese,3.8,6,+91-950437430
1036,Garden Bites,12.965441,77.584507,Bakery & Desserts,3.3,15,
1037,Namma Hub,12.960699,77.581797,Bakery & Desserts,4.7,15,+91-962019290
1038,Tandoor Junction,12.959712,77.603017,Biryani,4.5,15,+91-875539768
1039,Spice Bites,12.977036,77.609647,Healthy Bowls,3.3,8,+91-820370954
1040,Curry Kitchen,12.976258,77.583019,Italian,3.0,10,+91-874512027
1041,Madras Express,12.956714,77.609272,Chinese,3.9,4,+91-998029193
1042,Spice Express,12.983199,77.604314,Biryani,3.9,15,+91-866701227
1043,Green Plate,12.980284,77.588295,South Indian,4.5,10,+91-758970920
1044,Madras Diner,12.959174,77.584323,Bakery & Desserts,3.0,4,+91-979108209
1045,Bombay Junction,12.981611,77.601884,North Indian,2.9,20,+91-759566126
1046,Green Bistro,12.963674,77.589399,North Indian,3.2,8,+91-989964091
1047,Namma Plate,12.959174,77.602021,Bakery & Desserts,3.0,4,+91-856356961
1048,Curry Box,12.986699,77.600648,Continental,2.9,8,+91-723572461
1049,Urban Bowl,12.967821,77.609969,Fast Food,2.8,15,+91-825626356
1050,Green Treats,12.980997,77.596869,Continental,4.5,15,+91-846881253
1051,Green Diner,12.9795,77.603506,North Indian,4.7,150,
1052,Green Cafe,12.968858,77.582753,Healthy Bowls,4.1,200,+91-748632064
1053,Bombay Treats,12.978901,77.598098,Bakery & Desserts,3.5,10,+91-856488499
1054,Garden Plate,12.981924,77.583457,Beverages,4.3,15,+91-720550656
1055,Royal House,12.975804,77.596562,Italian,3.9,8,+91-930924610
1056,Royal Treats,12.975596,77.583935,Bakery & Desserts,4.4,20,+91-960369810
1057,Fresh Eats,12.985078,77.582814,South Indian,3.3,4,+91-763836946
1058,Curry Junction,12.973202,77.589865,Healthy Bowls,4.4,15,+91-752651051
1059,Curry Eats,12.971674,77.59564,Bakery & Desserts,3.8,20,+91-848709441
1060,Daily Cafe,12.955707,77.605156,Chinese,3.0,12,+91-713897816
1061,Fresh Diner,12.975404,77.583034,South Indian,4.3,4,+91-822209308
1062,Fresh Box,12.986059,77.579327,Bakery & Desserts,4.6,20,+91-933516421
1063,Curry Bowl,12.970709,77.601409,Chinese,4.7,6,+91-842465073
1064,Namma Hub,12.981096,77.60973,South Indian,4.6,20,+91-910923862
1065,Madras Eats,12.979555,77.600425,Continental,4.6,4,+91-726237925
1066,Namma Plate,12.978505,77.598023,North Indian,4.5,4,+91-958771134
1067,Cloud Hub,12.968382,77.608276,Beverages,3.1,6,+91-932676550
1068,Tandoor Box,12.967327,77.599609,Italian,3.2,4,+91-775978338
1069,Royal Corner,12.97968,77.602823,Beverages,3.7,8,+91-980032031
1070,Royal Treats,12.96483,77.585673,Biryani,3.4,15,+91-849578072
1071,Tandoor Express,12.960542,77.604366,Healthy Bowls,3.6,15,+91-988414664
1072,Namma Plate,12.955986,77.590253,Continental,4.1,6,+91-752184126
1073,Wok Cafe,12.972347,77.590695,Chinese,3.8,150,+91-837706466
1074,Daily Plate,12.962778,77.587506,South Indian,3.5,10,
1075,Daily Diner,12.97948,77.604805,Italian,3.6,4,+91-946436564
1076,Hot Diner,12.973305,77.595712,South Indian,2.9,12,+91-997349865
1077,Hot Cafe,12.983041,77.585907,Chinese,,12,+91-718545499
1078,Green Kitchen,12.984597,77.582842,Italian,4.0,12,+91-952796441
1079,Bombay House,12.980881,77.580938,Beverages,3.2,12,+91-988076270
1080,Hot Box,12.969352,77.60756,Beverages,3.2,20,+91-864649280
1081,Tandoor Bowl,12.974843,77.594363,Continental,3.4,15,+91-885331621
1082,Urban Bistro,12.971698,77.598629,Chinese,3.5,12,
1083,Wok Eats,12.969424,77.588349,Beverages,4.2,20,+91-951231731
1084,Namma Cafe,12.971657,77.588841,South Indian,4.7,6,+91-833055557
1085,Tandoor Bowl,12.982875,77.598124,Continental,4.2,20,+91-873348307
1086,Royal Express,12.985499,77.605302,Fast Food,3.5,15,+91-810761353
1087,Madras Bowl,12.979991,77.591531,Chinese,4.4,4,+91-849566968
1088,Madras Bistro,12.982242,77.579358,Bakery & Desserts,4.0,6,+91-824339094
1089,Hot Cafe,12.957982,77.583733,Healthy Bowls,4.8,4,+91-775369583
1090,Fresh Junction,12.963595,77.610182,North Indian,4.1,8,+91-828023391
1091,Daily Plate,12.983787,77.580968,Bakery & Desserts,4.6,12,
1092,Daily Hub,12.963447,77.596927,Fast Food,4.5,0,+91-952139163
1093,Daily Cafe,12.98623,77.590159,Italian,3.8,10,+91-844273540
1094,Tandoor House,12.974916,77.608446,Bakery & Desserts,4.5,20,+91-760126880
1095,Spice Diner,12.956118,77.592591,Biryani,3.8,12,
1096,Urban Diner,12.958549,77.596465,Chinese,4.6,4,+91-919809109
1097,Green Cafe,12.980148,77.59239,Beverages,4.9,6,+91-870941167
1098,Garden Junction,12.972487,77.600763,North Indian,3.4,150,+91-944742654
1099,Daily Bowl,12.982978,77.5973,Continental,4.2,20,+91-787424312
1100,Curry Corner,12.960483,77.603336,Chinese,3.9,20,+91-953951077
1101,Cloud Bites,12.983458,77.608311,Italian,3.7,8,+91-928429726
1102,Urban Eats,12.983684,77.60882,Bakery & Desserts,,20,+91-868860762
1103,Madras Treats,12.968374,77.58518,South Indian,3.2,12,+91-975647021
1104,Royal Junction,12.979301,77.590068,Italian,3.0,12,
1105,Daily Junction,12.970223,77.578832,Bakery & Desserts,3.0,8,+91-750358524
1106,Cloud Hub,12.962939,77.601039,Bakery & Desserts,2.8,8,
1107,Spice Express,12.982717,77.584275,Continental,4.3,20,+91-798711501
1108,Garden Express,12.964979,77.598362,Bakery & Desserts,4.8,6,+91-931793431
1109,Madras Hub,12.956559,77.58513,Biryani,3.4,0,
1110,Hot Eats,12.956512,77.593656,Chinese,2.9,10,+91-912005006
1111,Madras House,12.966757,77.585726,South Indian,3.8,10,
1112,Green Cafe,12.974905,77.598979,Beverages,3.3,8,+91-722938359
1113,Garden Treats,12.970889,77.602559,Italian,3.9,20,
1114,Wok Treats,12.958633,77.591523,South Indian,3.3,15,+91-789293774
1115,Wok Corner,12.972237,77.597069,Chinese,3.6,6,
1116,Spice Bistro,12.984592,77.590921,Italian,2.8,15,+91-811572026
1117,Royal Bites,12.973907,77.594083,Healthy Bowls,4.9,10,
1118,Wok Bowl,12.964538,77.603192,Biryani,3.2,8,+91-722952468
1119,Namma Corner,12.976976,77.589556,South Indian,3.7,4,+91-824916551
1120,Tandoor Eats,12.959449,77.601406,Biryani,3.7,4,+91-736156080
1121,Daily Kitchen,12.960135,77.600378,Italian,3.5,12,+91-981559021
1122,Namma Express,12.967205,77.585974,Biryani,4.2,15,+91-730407950
1123,Madras Eats,12.972906,77.609164,Italian,4.8,10,+91-872814453
1124,Green Kitchen,12.965901,77.60169,South Indian,4.0,8,+91-917948672
1125,Bombay Eats,12.979765,77.58309,Chinese,4.5,6,+91-735953856
1126,Curry Corner,12.963554,77.589813,Chinese,3.1,15,+91-946972997
1127,Urban Diner,12.979939,77.578945,Fast Food,4.4,12,+91-982646617
1128,Urban Box,12.979373,77.59314,Biryani,4.8,4,
1129,Wok Plate,12.970529,77.597319,Beverages,3.3,4,+91-842385743
1130,Garden Plate,12.98342,77.599877,Bakery & Desserts,4.1,20,+91-895934970
1131,Garden Corner,12.97185,77.592029,Biryani,3.0,20,+91-899339143
1132,Garden Plate,12.964104,77.610514,Beverages,4.6,10,+91-990753748
1133,Cloud House,12.95905,77.605423,Healthy Bowls,4.8,6,+91-862847572
1134,Cloud Bistro,12.978585,77.579876,Beverages,4.0,12,+91-767954859
1135,Fresh Express,12.97701,77.57942,North Indian,3.5,8,+91-858128991
1136,Curry Corner,12.981788,77.58961,Beverages,3.5,15,+91-984957616
1137,Royal Plate,12.980266,77.596113,Bakery & Desserts,4.4,6,+91-782240647
1138,Curry Bowl,12.979275,77.60536,Fast Food,4.3,15,+91-837131995
1139,Royal Bowl,12.96407,77.601237,Beverages,4.4,6,+91-796209085
1140,Namma Express,12.973536,77.602817,Bakery & Desserts,3.0,4,+91-845348929
1141,Royal Junction,12.960264,77.589485,Chinese,3.0,15,+91-721034254
1142,Garden Kitchen,12.965963,77.585794,Italian,4.2,0,+91-739390348
1143,Cloud Bistro,12.963451,77.585827,Italian,3.4,4,+91-783984321
1144,Tandoor Eats,12.987548,77.584752,Continental,4.1,10,+91-867890079
1145,Wok Bites,12.967447,77.607402,Biryani,3.0,15,+91-982246104
1146,Wok Bistro,12.974127,77.581692,Continental,3.9,4,+91-796565865
1147,Curry Cafe,12.986848,77.604874,Fast Food,2.9,12,
1148,Bombay Diner,12.987465,77.579308,North Indian,3.8,15,
1149,Wok Plate,12.978604,77.596832,North Indian,3.8,15,+91-770681408
1150,Green Bowl,12.965514,77.600911,Italian,4.6,10,+91-810909370
1151,Daily Bowl,12.986668,77.580295,Healthy Bowls,4.9,12,+91-943393307
1152,Tandoor Eats,12.986953,77.603359,Chinese,,10,
1153,Cloud Junction,12.968514,77.60103,Bakery & Desserts,3.8,20,+91-767762060
1154,Tandoor Corner,12.98373,77.59459,Bakery & Desserts,3.5,15,+91-744597012
1155,Namma Kitchen,12.956253,77.597997,Biryani,2.8,0,+91-813711597
1156,Royal Eats,12.981201,77.596779,South Indian,3.2,12,+91-930759612
1157,Wok Cafe,12.974791,77.596968,Chinese,4.5,10,+91-951831014
1158,Cloud Express,12.985521,77.582049,Healthy Bowls,4.7,10,+91-871024383
1159,Madras Bistro,12.985315,77.596135,Beverages,4.2,4,+91-835278591
1160,Spice Box,12.98101,77.579931,Beverages,4.7,15,+91-999055153
1161,Fresh Treats,12.976554,77.60778,Continental,4.4,15,+91-949320311
1162,Madras Junction,12.985816,77.592242,South Indian,3.8,8,+91-817397482
1163,Urban Corner,12.972482,77.579932,Healthy Bowls,4.0,6,+91-950660713
1164,Namma Kitchen,12.967917,77.589856,Bakery & Desserts,3.9,6,
1165,Tandoor Box,12.962464,77.593231,Italian,3.0,6,+91-961202550
1166,Wok Corner,12.962193,77.60066,North Indian,4.2,20,+91-959899973
1167,Tandoor Express,12.984963,77.591463,Healthy Bowls,4.2,10,+91-837498028
1168,Wok Corner,12.985689,77.599507,Bakery & Desserts,3.7,10,+91-844014192
1169,Madras Kitchen,12.974804,77.598649,Beverages,4.2,4,+91-818925521
1170,Hot Corner,12.961467,77.589076,Bakery & Desserts,3.4,20,
1171,Urban Diner,12.981932,77.606889,Beverages,3.9,4,+91-834760262
1172,Urban Bites,12.958275,77.600796,Bakery & Desserts,3.7,6,+91-735363046
1173,Spice Treats,12.980194,77.601797,North Indian,3.5,8,+91-717573659
1174,Green Diner,12.968122,77.583499,South Indian,4.1,8,+91-942987512
1175,Tandoor Express,12.974853,77.58781,Continental,2.9,15,
1176,Royal Bowl,12.978655,77.601771,North Indian,3.0,0,
1177,Fresh House,12.957469,77.591001,Italian,2.9,12,+91-796542269
1178,Madras Cafe,12.967954,77.60054,Italian,4.1,8,+91-970964805
1179,Tandoor Corner,12.972767,77.590124,Chinese,3.6,8,
1180,Bombay Junction,12.981374,77.583207,Continental,4.9,6,+91-866066184
1181,Madras Cafe,12.970339,77.593074,Biryani,4.2,6,+91-986287557
1182,Cloud Bistro,12.961827,77.606555,Healthy Bowls,3.8,20,+91-962724691
1183,Cloud Cafe,12.960123,77.582077,Fast Food,4.8,20,+91-731034514
1184,Madras Express,12.976709,77.608588,Beverages,,6,+91-785613436
1185,Fresh Bistro,12.980216,77.59912,Italian,3.5,6,+91-891920869
1186,Hot Hub,12.985457,77.598194,North Indian,4.5,0,+91-954494335
1187,Wok Bowl,12.982883,77.588625,Italian,4.8,8,+91-769943922
1188,Green Corner,12.970803,77.601115,South Indian,3.1,6,+91-831244038
1189,Hot Corner,12.973573,77.598718,Italian,4.2,6,
1190,Bombay Express,12.983767,77.59373,North Indian,4.9,8,+91-976003853
1191,Wok Bowl,12.985891,77.596737,South Indian,2.9,6,+91-999778757
1192,Green Plate,12.961908,77.598895,South Indian,4.9,0,+91-832690870
1193,Namma Corner,12.967287,77.586687,Continental,2.8,8,+91-845314481
1194,Spice Corner,12.969966,77.592454,Beverages,3.5,4,+91-786994349
1195,Wok Cafe,12.956215,77.590781,Bakery & Desserts,4.3,8,+91-864652792
1196,Royal Plate,12.978233,77.582835,Fast Food,3.8,8,+91-752763636
1197,Spice Bistro,12.983167,77.607266,Chinese,3.0,4,+91-921728894
1198,Spice Plate,12.983238,77.578909,Biryani,4.1,6,+91-754412731
1199,Urban Kitchen,12.980756,77.581987,Chinese,4.4,4,
1200,Curry Kitchen,12.969455,77.600539,South Indian,4.1,6,+91-734973205
1201,Fresh Eats,12.970615,77.60201,North Indian,3.9,4,
1202,Hot House,12.972944,77.609727,South Indian,4.6,20,+91-749825016
1203,Green Bites,12.97485,77.594813,Bakery & Desserts,3.5,6,+91-847775463
1204,Urban Cafe,12.979738,77.580669,Biryani,2.9,20,+91-769851981
1205,Urban Bowl,12.955984,77.602417,Healthy Bowls,4.7,15,
1206,Bombay Bowl,12.963998,77.605471,Beverages,3.4,10,+91-732891228
1207,Bombay Box,12.956966,77.589893,Beverages,4.5,10,+91-961749546
1208,Tandoor Bistro,12.969027,77.579383,Biryani,4.6,150,+91-939124413
1209,Tandoor Corner,12.958635,77.591121,Biryani,3.8,6,+91-935494128
1210,Madras Junction,12.971169,77.601759,Chinese,4.2,8,+91-891579904
1211,Bombay Bistro,12.964858,77.586125,Italian,2.8,8,+91-767579060
1212,Namma Corner,12.975172,77.597772,Biryani,4.5,20,+91-970005821
1213,Royal Plate,12.96744,77.586476,Italian,4.7,15,+91-755735675
1214,Curry Box,12.974071,77.589194,Chinese,4.4,12,+91-943433510
1215,Spice Bowl,12.971235,77.593632,Continental,3.6,6,+91-745702898
1216,Curry Bistro,12.957742,77.591066,Fast Food,3.6,20,+91-857804163
1217,Tandoor Bistro,12.981995,77.594042,Fast Food,3.8,8,+91-735259112
1218,Urban Corner,12.986247,77.597723,North Indian,3.2,20,+91-711464854
1219,Green Kitchen,12.965142,77.585136,North Indian,4.4,4,+91-894005516
1220,Bombay Bistro,12.967825,77.583623,Biryani,3.4,8,+91-727251767
1221,Spice Eats,12.96593,77.579143,Biryani,3.6,8,
1222,Tandoor Bowl,12.969496,77.588964,Healthy Bowls,2.9,8,
1223,Hot Express,12.971975,77.601729,Beverages,,4,+91-741542991
1224,Royal Bowl,12.95854,77.59013,South Indian,4.4,10,+91-830801601
1225,Curry Cafe,12.973139,77.581463,Chinese,4.7,8,+91-917044162
1226,Bombay Kitchen,12.976173,77.600913,North Indian,3.3,6,+91-895138411
1227,Daily Corner,12.977048,77.579216,Beverages,,15,
1228,Fresh Cafe,12.974469,77.585283,North Indian,3.0,8,+91-981971570
1229,Fresh Corner,12.955835,77.598686,Fast Food,3.9,6,+91-953896992
1230,Cloud Corner,12.984334,77.591164,Beverages,,12,+91-934807736
1231,Urban Plate,12.959206,77.590998,Italian,4.0,15,+91-750717713
1232,Cloud Bites,12.96715,77.58034,Healthy Bowls,4.6,6,+91-954819596
1233,Madras Plate,12.962203,77.608897,Biryani,3.6,20,+91-899526487
1234,Fresh House,12.983035,77.586553,North Indian,4.1,0,+91-950727906
1235,Tandoor House,12.969842,77.60192,North Indian,4.2,10,+91-713005743
1236,Urban Corner,12.965119,77.57972,Chinese,4.8,20,+91-714075870
1237,Tandoor Kitchen,12.983769,77.608425,South Indian,3.3,20,+91-985595538
1238,Tandoor Bites,12.970951,77.602006,South Indian,3.6,4,+91-987411508
1239,Daily Box,12.984317,77.599612,Fast Food,4.3,6,+91-941516805
1240,Cloud Kitchen,12.97767,77.604531,Healthy Bowls,3.7,15,+91-948455675
1241,Bombay Eats,12.967249,77.597738,Beverages,3.6,8,+91-756545063
1242,Royal Cafe,12.968624,77.597167,Biryani,3.1,15,+91-867943314
1243,Tandoor Bowl,12.958366,77.586702,Biryani,3.7,12,
1244,Cloud Express,12.971803,77.606111,Healthy Bowls,4.1,15,
1245,Hot Junction,12.98172,77.585186,South Indian,4.6,12,+91-883879955
1246,Curry Hub,12.976868,77.58387,Biryani,3.5,20,+91-762720687
1247,Madras Plate,12.96261,77.589836,South Indian,4.2,6,+91-977714331
1248,Wok House,12.981198,77.594446,Fast Food,3.7,20,+91-913154870
1249,Curry Express,12.956119,77.588065,South Indian,,10,+91-811418473
1250,Madras Bowl,12.97793,77.588207,Italian,4.1,10,+91-977108172
1251,Hot Cafe,12.965828,77.579593,Bakery & Desserts,4.4,10,+91-775808087
1252,Bombay Bistro,12.987428,77.590759,South Indian,3.9,4,+91-971026948
1253,Fresh Cafe,12.967755,77.589396,North Indian,4.0,15,+91-927231429
1254,Spice Box,12.97459,77.600208,Continental,3.9,10,+91-797738439
1255,Urban Plate,12.978779,77.586703,Continental,4.7,8,+91-824720271
1256,Urban Bites,12.977578,77.609594,Beverages,2.8,20,+91-815888759
1257,Garden Hub,12.965273,77.58575,Healthy Bowls,3.3,10,
1258,Fresh Treats,12.960862,77.582824,North Indian,3.6,15,+91-895205708
1259,Spice Corner,12.972992,77.591996,Bakery & Desserts,3.7,4,+91-863865194
1260,Wok Box,12.971828,77.586383,Chinese,3.1,12,+91-760105741
1261,Daily Hub,12.973436,77.593892,Chinese,3.0,4,
1262,Spice Diner,12.978047,77.578958,North Indian,4.2,12,+91-842705658
1263,Curry Hub,12.983139,77.604239,Beverages,3.2,6,+91-929610873
1264,Tandoor Eats,12.976947,77.606051,South Indian,4.9,4,+91-758549573
1265,Madras Kitchen,12.985603,77.605095,Bakery & Desserts,,8,+91-862449097
1266,Curry Plate,12.969995,77.605364,Chinese,4.8,12,+91-942392187
1267,Daily House,12.974767,77.587804,Bakery & Desserts,3.7,12,
1268,Madras Corner,12.976125,77.590425,Beverages,4.9,8,+91-873070505
1269,Garden Eats,12.971966,77.590955,Healthy Bowls,4.7,12,
1270,Royal Diner,12.966386,77.600726,Continental,2.9,15,+91-740580466
1271,Wok Bites,12.965618,77.607586,Healthy Bowls,4.8,6,+91-890230057
1272,Daily Treats,12.969163,77.599692,Chinese,4.2,6,+91-837442758
1273,Tandoor House,12.981137,77.597216,Fast Food,3.2,20,+91-860331463
1274,Green Box,12.96346,77.594099,Healthy Bowls,3.5,8,+91-762758434
1275,Wok Corner,12.955705,77.584646,Beverages,4.9,12,+91-816844169
1276,Bombay Treats,12.98701,77.5987,South Indian,3.6,4,+91-915507572
1277,Namma Diner,12.98271,77.587475,Fast Food,3.0,15,+91-718036942
1278,Fresh Plate,12.955915,77.589403,Fast Food,3.3,6,+91-757452870
1279,Namma Treats,12.982505,77.583454,Biryani,3.2,20,
1280,Fresh Corner,12.960733,77.59688,Beverages,3.3,10,+91-939573751
1281,Cloud Corner,12.964543,77.578701,Bakery & Desserts,4.1,10,+91-869610531
1282,Madras Eats,12.969761,77.602253,Healthy Bowls,2.8,20,+91-755941216
1283,Fresh Junction,12.965907,77.594569,Beverages,3.6,15,+91-964224809
1284,Madras Corner,12.962228,77.588655,Italian,4.7,10,
1285,Hot House,12.985528,77.58641,Beverages,2.8,12,+91-769770852
1286,Green Bowl,12.984694,77.581463,Italian,4.7,8,+91-779413354
1287,Garden Kitchen,12.974771,77.604525,Bakery & Desserts,4.4,4,+91-716719620
1288,Green Cafe,12.963613,77.595408,Chinese,4.6,8,+91-979861397
1289,Fresh Kitchen,12.957737,77.606498,Healthy Bowls,4.4,20,+91-832538675
1290,Curry Treats,12.96316,77.604447,South Indian,,4,+91-884281278
1291,Tandoor Diner,12.979948,77.601743,Chinese,2.8,20,+91-777714151
1292,Tandoor Kitchen,12.984235,77.591202,Beverages,3.1,20,+91-842989230
1293,Hot Bites,12.970158,77.601327,Chinese,4.4,4,+91-775760850
1294,Namma Plate,12.977281,77.591241,Bakery & Desserts,3.8,15,+91-764384837
1295,Madras Express,12.979652,77.595351,Continental,3.1,4,+91-825507005
1296,Madras Corner,12.974941,77.591797,Biryani,,200,+91-970389982
1297,Hot Express,12.983286,77.603897,Fast Food,3.1,6,+91-772438718
1298,Tandoor Junction,12.96749,77.58515,North Indian,3.1,15,
1299,Cloud Eats,12.970483,77.59097,Bakery & Desserts,,8,+91-819094010
1300,Wok Diner,12.966879,77.584791,Chinese,,4,+91-978384832
1301,Spice Cafe,12.962598,77.595275,Bakery & Desserts,4.1,8,
1302,Bombay Bistro,12.972144,77.582546,Beverages,3.9,15,+91-930579604
1303,Cloud Plate,12.985454,77.590694,Beverages,4.1,6,
1304,Spice Kitchen,12.967884,77.591221,Fast Food,,6,+91-967299090
1305,Wok Bites,12.973106,77.586765,North Indian,3.1,4,
1306,Wok Hub,12.970586,77.609998,Beverages,4.2,20,+91-844639362
1307,Wok Eats,12.974065,77.596134,Biryani,3.5,6,+91-747441996
1308,Curry Bites,12.981398,77.603505,North Indian,3.4,12,+91-989415669
1309,Urban Eats,12.965211,77.60622,Chinese,4.6,6,+91-982774096
1310,Madras Junction,12.971787,77.591805,Healthy Bowls,3.0,6,+91-817637396
1311,Tandoor Junction,12.96954,77.604682,Beverages,3.5,8,+91-863196481
1312,Garden Bites,12.97443,77.59157,Fast Food,4.5,8,+91-923510334
1313,Spice Express,12.958227,77.604078,Continental,4.7,20,+91-973244486
1314,Garden Bowl,12.961282,77.582871,Biryani,3.0,6,
1315,Fresh Kitchen,12.974252,77.610222,Italian,4.7,20,+91-780610268
1316,Tandoor House,12.957894,77.598208,Beverages,3.3,15,+91-948077170
1317,Cloud Express,12.956625,77.605869,Beverages,3.6,12,+91-841557954
1318,Cloud Bowl,12.981016,77.605708,Italian,3.1,6,+91-924451825
1319,Hot House,12.987543,77.582636,Fast Food,4.2,12,+91-799693592
1320,Fresh Corner,12.985763,77.596268,Italian,4.2,8,
1321,Green Junction,12.956604,77.605898,Chinese,3.8,10,+91-866686642
1322,Daily Treats,12.976669,77.609258,Chinese,,20,
1323,Spice Box,12.983617,77.589306,Chinese,4.1,8,+91-994763590
1324,Fresh Bowl,12.967143,77.589575,Biryani,,10,+91-954629799
1325,Hot Diner,12.977371,77.606049,Fast Food,4.7,12,+91-715291565
1326,Namma Corner,12.970158,77.601611,Continental,3.8,8,+91-973688669
1327,Bombay Box,12.982146,77.591952,Healthy Bowls,4.7,20,+91-715195631
1328,Fresh Corner,12.981736,77.59999,Bakery & Desserts,3.9,4,+91-967715067
1329,Daily Corner,12.957128,77.581035,Continental,3.9,0,+91-795901983
1330,Cloud Kitchen,12.980816,77.603205,Beverages,3.2,15,+91-885263223
1331,Cloud Bites,12.978823,77.584272,North Indian,3.0,15,
1332,Tandoor Hub,12.985395,77.601993,Fast Food,3.7,10,
1333,Namma Plate,12.985416,77.588504,Continental,3.0,6,
1334,Daily Bistro,12.963266,77.603517,Fast Food,3.0,10,+91-772451136
1335,Fresh Corner,12.971945,77.594,South Indian,3.0,6,+91-712446459
1336,Daily Bistro,12.984749,77.598451,South Indian,3.1,8,+91-894767925
1337,Madras Bistro,12.966844,77.589486,Bakery & Desserts,3.9,20,+91-888699165
1338,Hot Bites,12.979527,77.580741,Beverages,3.8,8,
1339,Royal Kitchen,12.970093,77.578719,Biryani,3.7,0,+91-821438741
1340,Namma Diner,12.959891,77.581671,South Indian,3.8,12,+91-714359404
1341,Curry Corner,12.980757,77.599019,Continental,3.4,20,+91-944665942
1342,Green Bowl,12.981702,77.610577,Bakery & Desserts,4.8,8,+91-913509495
1343,Hot House,12.987,77.589088,Chinese,4.1,20,+91-852723076
1344,Curry Treats,12.984029,77.584444,South Indian,3.4,20,+91-983677009
1345,Namma Corner,12.985527,77.60645,Continental,3.0,10,+91-822477883
1346,Spice Express,12.976653,77.58721,South Indian,4.8,4,+91-864490879
1347,Fresh Diner,12.972943,77.587057,Italian,3.2,15,
1348,Hot Plate,12.981592,77.59365,Chinese,4.8,20,+91-780192532
1349,Hot Bistro,12.983602,77.597054,Italian,3.3,10,+91-749286375
1350,Fresh Junction,12.966617,77.591545,Healthy Bowls,3.3,20,+91-776797108
1351,Fresh Bites,12.955646,77.582268,Fast Food,4.0,20,+91-915396384
1352,Spice Plate,12.962987,77.5866,South Indian,3.1,6,
1353,Hot Kitchen,12.962327,77.582145,Bakery & Desserts,3.2,6,
1354,Madras Hub,12.9674,77.609872,Continental,3.7,6,+91-999369812
1355,Bombay Cafe,12.98306,77.599794,Fast Food,3.3,10,+91-971572062
1356,Urban Box,12.972377,77.585123,Fast Food,3.4,10,+91-988716610
1357,Curry Cafe,12.970142,77.588302,Italian,3.4,10,+91-827916286
1358,Bombay Junction,12.956149,77.586101,Italian,4.0,15,+91-744200177
1359,Cloud Diner,12.977677,77.587298,Fast Food,2.8,12,+91-842788611
1360,Namma Eats,12.979848,77.59999,Healthy Bowls,4.7,6,
1361,Hot Bistro,12.986276,77.589076,Continental,3.5,10,+91-843711159
1362,Curry Hub,12.977873,77.587302,Bakery & Desserts,4.8,12,+91-942867782
1363,Royal Cafe,12.965991,77.606049,Italian,3.8,150,
1364,Garden Kitchen,12.98427,77.586002,Italian,3.9,15,+91-828216197
1365,Royal House,12.962663,77.585465,North Indian,4.7,10,+91-838062838
1366,Fresh House,12.958591,77.608154,South Indian,4.5,12,+91-847189249
1367,Hot Plate,12.972914,77.599634,North Indian,3.8,6,
